grader_type,sigma,rbf_score,accuracy,spearman
accuracy_80pct,0.3,88.01546368189807,0.88,0.8392720958828039
accuracy_70pct,0.3,81.04252512287437,0.81,0.7780425477232452
accuracy_60pct,0.3,66.06185472357174,0.66,0.44566969514548715
correlation_70pct,0.3,50.150770887673076,0.5,0.665593845567664
correlation_60pct,0.3,33.18943008996125,0.33,0.4694293592902717
accuracy_80pct,0.3,82.03092736267934,0.82,0.6788569065718276
accuracy_70pct,0.3,82.05412288239935,0.82,0.7990096733853281
accuracy_60pct,0.3,69.06572064482805,0.69,0.6248133179102536
correlation_70pct,0.3,43.166234568901054,0.43,0.5848142656707385
correlation_60pct,0.3,43.17010048904053,0.43,0.519218296831548
accuracy_80pct,0.3,85.02319552195365,0.85,0.8004952154210991
accuracy_70pct,0.3,75.0425251233211,0.75,0.6641005526526434
accuracy_60pct,0.3,70.04639104368395,0.7,0.481451366374258
correlation_70pct,0.3,38.17783232954284,0.38,0.5942461321002327
correlation_60pct,0.3,37.15077088990671,0.37,0.4804626495800451
accuracy_80pct,0.3,89.01546368189807,0.89,0.8467174150877386
accuracy_70pct,0.3,78.05025696337668,0.78,0.7466495340194452
accuracy_60pct,0.3,69.0425251246613,0.69,0.4524420238492645
correlation_70pct,0.3,42.193296008537175,0.42,0.6461847204970268
correlation_60pct,0.3,45.16623456823096,0.45,0.5670826715457674
accuracy_80pct,0.3,83.03092736245597,0.83,0.7438234553349148
accuracy_70pct,0.3,76.06572064348785,0.76,0.7320880346618027
accuracy_60pct,0.3,69.07345248466025,0.69,0.6563837616188783
correlation_70pct,0.3,41.18169824923558,0.41,0.6683284265473594
correlation_60pct,0.3,50.1391731281481,0.5,0.5890901421266418
accuracy_80pct,0.3,86.03479328192535,0.86,0.8651391192633139
accuracy_70pct,0.3,75.03092736334942,0.75,0.6755840007463905
accuracy_60pct,0.3,66.08505024463196,0.66,0.6799518952879172
correlation_70pct,0.3,35.18556417004515,0.35,0.5657809247977198
correlation_60pct,0.3,34.15850273040902,0.34,0.4796836582142199
accuracy_80pct,0.3,86.03092736156252,0.86,0.7736114040097044
accuracy_70pct,0.3,79.0502569627066,0.79,0.7445237867719955
accuracy_60pct,0.3,72.07345248399017,0.72,0.6992973637546696
correlation_70pct,0.3,45.166234568677694,0.45,0.688454908343241
correlation_60pct,0.3,45.158502727505294,0.45,0.5572838430559429
accuracy_80pct,0.3,82.0386592027349,0.82,0.7390491087819028
accuracy_70pct,0.3,79.03865920295829,0.79,0.6733811859867087
accuracy_60pct,0.3,68.06958656474414,0.68,0.5443741052561496
correlation_70pct,0.3,36.197161929793474,0.36,0.5994191560853223
correlation_60pct,0.3,41.1894300890678,0.41,0.5824455372039093
accuracy_80pct,0.3,82.0309273622326,0.82,0.7429592933501467
accuracy_70pct,0.3,79.03865920273492,0.79,0.6709632360127762
accuracy_60pct,0.3,71.04252512376783,0.71,0.5235781589622874
correlation_70pct,0.3,51.13917312792475,0.51,0.6495425305003699
correlation_60pct,0.3,36.18169825012903,0.36,0.512680347887307
accuracy_80pct,0.3,85.03479328192535,0.85,0.7955779963974057
accuracy_70pct,0.3,80.05025696315332,0.8,0.8146733842353041
accuracy_60pct,0.3,63.10437984577604,0.63,0.7246036781009003
correlation_70pct,0.3,38.204893769178966,0.38,0.6445344720542611
correlation_60pct,0.3,37.2048937696257,0.37,0.6219606274739792
accuracy_80pct,0.3,86.03092736200924,0.86,0.8220644996707659
accuracy_70pct,0.3,76.03092736245597,0.76,0.5062802715272631
accuracy_60pct,0.3,73.05412288396289,0.73,0.6289850834906925
correlation_70pct,0.3,50.14690496775697,0.5,0.6667959031294776
correlation_60pct,0.3,44.162368648984945,0.44,0.6311343783178535
accuracy_80pct,0.3,86.02706144209313,0.86,0.8154589637069113
accuracy_70pct,0.3,75.0425251239912,0.75,0.753504398946342
accuracy_60pct,0.3,74.05412288351617,0.74,0.6499499888733126
correlation_70pct,0.3,32.21649153049083,0.32,0.6381714587403662
correlation_60pct,0.3,39.15077088968334,0.39,0.5468401819212184
accuracy_80pct,0.3,85.02319552217702,0.85,0.7744190640546682
accuracy_70pct,0.3,77.03092736357277,0.77,0.6929534820492356
accuracy_60pct,0.3,69.04639104435404,0.69,0.5839602716336194
correlation_70pct,0.3,43.17396640850991,0.43,0.6641293984510664
correlation_60pct,0.3,35.16236865054849,0.35,0.4906063740775919
accuracy_80pct,0.3,84.02706144186976,0.84,0.7271047218474896
accuracy_70pct,0.3,75.06185472379511,0.75,0.7709168366616658
accuracy_60pct,0.3,64.06185472535864,0.64,0.5317752455226871
correlation_70pct,0.3,45.16623456845432,0.45,0.6171344256941312
correlation_60pct,0.3,42.15463680937609,0.42,0.5283260204264038
accuracy_80pct,0.3,87.03479328147861,0.87,0.8601053265369569
accuracy_70pct,0.3,76.038659203405,0.76,0.6408882390898656
accuracy_60pct,0.3,69.0579888045491,0.69,0.5670767824530885
correlation_70pct,0.3,40.18169824923559,0.4,0.633722066894028
correlation_60pct,0.3,34.20102785015631,0.34,0.5320063034244977
accuracy_80pct,0.3,85.01546368189807,0.85,0.6944212972124028
accuracy_70pct,0.3,77.04252512287437,0.77,0.6688110189804566
accuracy_60pct,0.3,70.06958656407406,0.7,0.6303157736029585
correlation_70pct,0.3,35.1932960103241,0.35,0.6345851961580475
correlation_60pct,0.3,40.17783232909611,0.4,0.5713331276533322
accuracy_80pct,0.3,84.02706144253986,0.84,0.8228257622492191
accuracy_70pct,0.3,75.04639104346057,0.75,0.6257062055337538
accuracy_60pct,0.3,73.03479328304216,0.73,0.5109907858514164
correlation_70pct,0.3,38.204893769178966,0.38,0.6533436002669987
correlation_60pct,0.3,35.19716192957011,0.35,0.5208953871453987
accuracy_80pct,0.3,86.0270614423165,0.86,0.8196640933905488
accuracy_70pct,0.3,81.01932960270764,0.81,0.6666232442904179
accuracy_60pct,0.3,69.03865920429845,0.69,0.3643769541155886
correlation_70pct,0.3,30.231955210378636,0.3,0.6504587807825926
correlation_60pct,0.3,34.16623457068796,0.34,0.4315938165096911
accuracy_80pct,0.3,84.02706144253986,0.84,0.8211423299981107
accuracy_70pct,0.3,79.03865920318162,0.79,0.7142466371854026
accuracy_60pct,0.3,70.05412288373952,0.7,0.5346399230265745
correlation_70pct,0.3,41.17396640895664,0.41,0.5910391987141128
correlation_60pct,0.3,41.15463680892936,0.41,0.49823760133828765
accuracy_80pct,0.3,84.02319552217702,0.84,0.6992797272358372
accuracy_70pct,0.3,78.04252512287438,0.78,0.6902330844204769
accuracy_60pct,0.3,67.0734524837668,0.67,0.575921606028174
correlation_70pct,0.3,46.17010048792371,0.46,0.6010818817481828
correlation_60pct,0.3,35.18169825012904,0.35,0.4748405421204719
accuracy_80pct,0.3,85.0270614423165,0.85,0.8180283977004784
accuracy_70pct,0.3,78.0386592027349,0.78,0.6356472164590281
accuracy_60pct,0.3,70.08505024440858,0.7,0.7511972258959996
correlation_70pct,0.3,36.185564170268506,0.36,0.6136478323492329
correlation_60pct,0.3,34.20102785015632,0.34,0.5220427046360223
accuracy_80pct,0.3,82.04639104256712,0.82,0.8156468189040692
accuracy_70pct,0.3,73.05798880343227,0.73,0.6017497804744106
accuracy_60pct,0.3,72.06185472379511,0.72,0.631508915660158
correlation_70pct,0.3,40.177832329096105,0.4,0.6186316447037125
correlation_60pct,0.3,40.17396640918,0.4,0.5974978578892287
accuracy_80pct,0.3,88.01546368189807,0.88,0.796644322073682
accuracy_70pct,0.3,79.05025696315332,0.79,0.7547091477020565
accuracy_60pct,0.3,68.05798880499582,0.68,0.5765230078575803
correlation_70pct,0.3,40.19329600920727,0.4,0.6823866525693174
correlation_60pct,0.3,39.19716192912338,0.39,0.5458216080620865
accuracy_80pct,0.3,85.03865920184145,0.85,0.8239516456443149
accuracy_70pct,0.3,80.03092736245597,0.8,0.6945095775289488
accuracy_60pct,0.3,66.07731840412964,0.66,0.5990190101714948
correlation_70pct,0.3,38.18943008973789,0.38,0.6596604337164604
correlation_60pct,0.3,36.17396641029682,0.36,0.5307231791725886
accuracy_80pct,0.3,84.02706144253986,0.84,0.8070347157808844
accuracy_70pct,0.3,73.05025696315332,0.73,0.6065160115801104
accuracy_60pct,0.3,68.057988803879,0.68,0.510894602043996
correlation_70pct,0.3,43.15463680892936,0.43,0.5686508023761412
correlation_60pct,0.3,41.16236864943167,0.41,0.5788397231788924
accuracy_80pct,0.3,85.0270614423165,0.85,0.8384034709932277
accuracy_70pct,0.3,79.03865920295826,0.79,0.7762135371613559
accuracy_60pct,0.3,70.06958656429742,0.7,0.7023809034790561
correlation_70pct,0.3,40.17783232909611,0.4,0.644198290979719
correlation_60pct,0.3,42.15077088945998,0.42,0.5716234674151917
accuracy_80pct,0.3,83.02706144209313,0.83,0.7576315907765699
accuracy_70pct,0.3,78.03479328304216,0.78,0.6915293885432029
accuracy_60pct,0.3,70.06958656496751,0.7,0.7360054678392618
correlation_70pct,0.3,36.17396641052018,0.36,0.6696434345841595
correlation_60pct,0.3,36.13917312971165,0.36,0.4087311869719137
accuracy_80pct,0.3,86.02706144186976,0.86,0.8076787965808607
accuracy_70pct,0.3,78.04639104279049,0.78,0.749222808676398
accuracy_60pct,0.3,69.06572064460467,0.69,0.615763286235754
correlation_70pct,0.3,42.189430088397714,0.42,0.7036439738720951
correlation_60pct,0.3,38.173966409850095,0.38,0.5964644962060961
accuracy_80pct,0.3,87.00773184161912,0.87,0.7196664339286647
accuracy_70pct,0.3,75.04639104323721,0.75,0.6519248885350711
accuracy_60pct,0.3,70.06185472424184,0.7,0.6582342619116875
correlation_70pct,0.3,36.20489376940233,0.36,0.6318222997360691
correlation_60pct,0.3,33.193296010547456,0.33,0.5504503475206313
accuracy_80pct,0.3,84.04252512242765,0.84,0.8880782684220434
accuracy_70pct,0.3,74.05412288329279,0.74,0.6686377804151902
accuracy_60pct,0.3,68.05798880477245,0.68,0.6114804446162864
correlation_70pct,0.3,38.16623457001787,0.38,0.5698736736244221
correlation_60pct,0.3,38.18169824923558,0.38,0.6201275464720413
accuracy_80pct,0.3,85.03479328170198,0.85,0.793243227504202
accuracy_70pct,0.3,75.05025696315333,0.75,0.6628658221813096
accuracy_60pct,0.3,72.04639104346057,0.72,0.5196032359059779
correlation_70pct,0.3,43.17783232842602,0.43,0.6486905446681972
correlation_60pct,0.3,38.185564169375056,0.38,0.551473401756644
accuracy_80pct,0.3,88.02319552173029,0.88,0.8293424548642686
accuracy_70pct,0.3,83.01546368212144,0.83,0.6732242501967859
accuracy_60pct,0.3,77.05412288306944,0.77,0.7646774673948308
correlation_70pct,0.3,46.17783232797929,0.46,0.6591451598846471
correlation_60pct,0.3,38.185564169375056,0.38,0.518922356875631
accuracy_80pct,0.3,83.05025696270661,0.83,0.883873376880575
accuracy_70pct,0.3,78.04639104323721,0.78,0.6748838980756428
accuracy_60pct,0.3,70.05025696382341,0.7,0.4991759644716261
correlation_70pct,0.3,38.18556416982178,0.38,0.6510152977566176
correlation_60pct,0.3,39.177832328872746,0.39,0.48452476216118995
accuracy_80pct,0.3,86.0309273615625,0.86,0.8274183503740985
accuracy_70pct,0.3,80.02319552329382,0.8,0.7085897506406748
accuracy_60pct,0.3,70.05025696427015,0.7,0.6276908827421294
correlation_70pct,0.3,41.16623456912443,0.41,0.5940522072168372
correlation_60pct,0.3,41.17396640918,0.41,0.6172205303411884
accuracy_80pct,0.3,81.0347932828188,0.81,0.7587431159820329
accuracy_70pct,0.3,75.03092736267934,0.75,0.4349070827386455
accuracy_60pct,0.3,69.07345248466025,0.69,0.6961373694922237
correlation_70pct,0.3,43.166234568901054,0.43,0.6361947583099281
correlation_60pct,0.3,38.17396640962673,0.38,0.5445714646283689
accuracy_80pct,0.3,85.03479328214871,0.85,0.8747472397481704
accuracy_70pct,0.3,78.05412288306943,0.78,0.7965595077416439
accuracy_60pct,0.3,70.04252512421456,0.7,0.5590951187421891
correlation_70pct,0.3,31.189430090184608,0.31,0.46003881148111997
correlation_60pct,0.3,27.18943009130143,0.27,0.48497290260864734
accuracy_80pct,0.3,83.02706144276321,0.83,0.7831989244349001
accuracy_70pct,0.3,79.03479328304218,0.79,0.7162616690647335
accuracy_60pct,0.3,72.04252512376783,0.72,0.6003814625882864
correlation_70pct,0.3,34.17010049082744,0.34,0.5271612939445397
correlation_60pct,0.3,30.185564170491865,0.3,0.44005827631232053
accuracy_80pct,0.3,82.04252512242766,0.82,0.7558166703194671
accuracy_70pct,0.3,81.03865920273492,0.81,0.7873302829410749
accuracy_60pct,0.3,65.07731840502309,0.65,0.5380013469095831
correlation_70pct,0.3,48.166234567784244,0.48,0.6992590305993726
correlation_60pct,0.3,45.131441289209334,0.45,0.6088534032903997
accuracy_80pct,0.3,86.02319552195365,0.86,0.7861748998995658
accuracy_70pct,0.3,79.03479328304216,0.79,0.7090597902668834
accuracy_60pct,0.3,70.05025696494023,0.7,0.5582626892427409
correlation_70pct,0.3,40.19329600898391,0.4,0.6627474636936092
correlation_60pct,0.3,43.162368649208304,0.43,0.5729069109134259
accuracy_80pct,0.3,88.0115977617586,0.88,0.8108707969226345
accuracy_70pct,0.3,77.05412288329279,0.77,0.7598078132528024
accuracy_60pct,0.3,73.05798880343227,0.73,0.6334557998532382
correlation_70pct,0.3,46.177832328202655,0.46,0.7012256103758314
correlation_60pct,0.3,42.18556416803487,0.42,0.5896565581944962
accuracy_80pct,0.3,84.01932960203754,0.84,0.7186965910780829
accuracy_70pct,0.3,74.05025696404678,0.74,0.7151599012095872
accuracy_60pct,0.3,70.04639104435404,0.7,0.5583443783513184
correlation_70pct,0.3,46.15850272772866,0.46,0.6188415980102684
correlation_60pct,0.3,35.18556416982179,0.35,0.5371001557069832
accuracy_80pct,0.3,86.01932960181418,0.86,0.7623035188121872
accuracy_70pct,0.3,79.0347932834889,0.79,0.7396629416614255
accuracy_60pct,0.3,69.05798880477245,0.69,0.5632506873636008
correlation_70pct,0.3,36.20102784926286,0.36,0.6052267749813326
correlation_60pct,0.3,39.166234569571145,0.39,0.5111544159973948
accuracy_80pct,0.3,82.03092736290269,0.82,0.725997951410081
accuracy_70pct,0.3,78.05412288306943,0.78,0.7331942549543388
accuracy_60pct,0.3,67.06572064482803,0.67,0.5851882520314414
correlation_70pct,0.3,36.16623457024124,0.36,0.5827805093787253
correlation_60pct,0.3,31.189430090631337,0.31,0.4877324471346018
accuracy_80pct,0.3,88.02706144186976,0.88,0.8401989484565622
accuracy_70pct,0.3,76.05412288396289,0.76,0.7392236897879114
accuracy_60pct,0.3,69.0618547244652,0.69,0.56552492124711
correlation_70pct,0.3,46.16623456845432,0.46,0.7106795609012895
correlation_60pct,0.3,35.17396641074354,0.35,0.48872555717871685
accuracy_80pct,0.3,86.03479328192535,0.86,0.8339598203244059
accuracy_70pct,0.3,76.05798880343227,0.76,0.7128638433891598
accuracy_60pct,0.3,73.06185472401847,0.73,0.6521534389932341
correlation_70pct,0.3,48.17396640783981,0.48,0.6827235324412492
correlation_60pct,0.3,37.17010048971062,0.37,0.4931855996975499
accuracy_80pct,0.3,84.03092736245597,0.84,0.8182656056625539
accuracy_70pct,0.3,72.0541228832928,0.72,0.6133273315274925
accuracy_60pct,0.3,72.05025696360005,0.72,0.6425659481303184
correlation_70pct,0.3,37.18943008929117,0.37,0.561969451686941
correlation_60pct,0.3,37.15077089035343,0.37,0.5606638276901611
accuracy_80pct,0.3,86.03479328192535,0.86,0.8422145740510945
accuracy_70pct,0.3,81.02706144253986,0.81,0.7083552618188637
accuracy_60pct,0.3,67.07345248399017,0.67,0.5768907632112785
correlation_70pct,0.3,41.166234568677694,0.41,0.49894014810482606
correlation_60pct,0.3,42.13144128898598,0.42,0.48666745319549565
accuracy_80pct,0.3,86.01932960203754,0.86,0.8057074598793542
accuracy_70pct,0.3,75.05412288373952,0.75,0.7139428886823098
accuracy_60pct,0.3,66.06572064527477,0.66,0.5679171537635762
correlation_70pct,0.3,49.15463680781255,0.49,0.6827011745637496
correlation_60pct,0.3,33.204893769849065,0.33,0.60702854425179
accuracy_80pct,0.3,83.03092736200924,0.83,0.7531554280406029
accuracy_70pct,0.3,75.04252512354446,0.75,0.6768727846148705
accuracy_60pct,0.3,68.06185472446519,0.68,0.6564539903753116
correlation_70pct,0.3,37.19329600920727,0.37,0.6066135852982032
correlation_60pct,0.3,29.201027850826392,0.29,0.49252316412404323
accuracy_80pct,0.3,84.04252512242766,0.84,0.8578432557143171
accuracy_70pct,0.3,76.0425251233211,0.76,0.6605360254496927
accuracy_60pct,0.3,67.05025696404678,0.67,0.38436671336191286
correlation_70pct,0.3,54.14303904717076,0.54,0.7458875473101074
correlation_60pct,0.3,36.16236865010177,0.36,0.5099392670491095
accuracy_80pct,0.3,86.02319552150692,0.86,0.7383939479297602
accuracy_70pct,0.3,79.04639104301384,0.79,0.7102586156721462
accuracy_60pct,0.3,70.06958656452079,0.7,0.59478445624792
correlation_70pct,0.3,44.15850272862211,0.44,0.5620049781128028
correlation_60pct,0.3,38.189430089514524,0.38,0.5713600211039467
accuracy_80pct,0.3,88.0309273615625,0.88,0.8104691414893286
accuracy_70pct,0.3,77.03479328393561,0.77,0.6719601834497301
accuracy_60pct,0.3,72.05025696404678,0.72,0.5916686918249024
correlation_70pct,0.3,44.18556416825824,0.44,0.61278473846327
correlation_60pct,0.3,32.20102785060304,0.32,0.5137018105534953
accuracy_80pct,0.3,86.03479328192535,0.86,0.8347114155264388
accuracy_70pct,0.3,80.03479328304216,0.8,0.7598460384022062
accuracy_60pct,0.3,73.03865920362836,0.73,0.548005411599796
correlation_70pct,0.3,40.18169824901223,0.4,0.578585650870796
correlation_60pct,0.3,36.2048937696257,0.36,0.5737944251683055
accuracy_80pct,0.3,82.0463910427905,0.82,0.8306974327543442
accuracy_70pct,0.3,76.0579888032089,0.76,0.7581265806049078
accuracy_60pct,0.3,70.07731840345954,0.7,0.6105927273317293
correlation_70pct,0.3,38.185564169598415,0.38,0.6412489432819725
correlation_60pct,0.3,40.18169824945895,0.4,0.6350781763519172
accuracy_80pct,0.3,84.01546368279152,0.84,0.7532713035572466
accuracy_70pct,0.3,77.0347932828188,0.77,0.5708626853232158
accuracy_60pct,0.3,73.06572064371122,0.73,0.6885157976666632
correlation_70pct,0.3,43.18943008862108,0.43,0.7281677020404882
correlation_60pct,0.3,38.16623457001788,0.38,0.540458597116956
accuracy_80pct,0.3,85.01932960203754,0.85,0.7366831232128045
accuracy_70pct,0.3,79.03865920273492,0.79,0.6772410977230037
accuracy_60pct,0.3,68.05798880499582,0.68,0.5906147702605178
correlation_70pct,0.3,39.189430089067805,0.39,0.5467884201844655
correlation_60pct,0.3,36.17010048971062,0.36,0.4136092083354264
accuracy_80pct,0.3,84.03092736245596,0.84,0.8054171307466541
accuracy_70pct,0.3,78.05798880276218,0.78,0.7188313432859895
accuracy_60pct,0.3,68.07345248466025,0.68,0.5833755115604652
correlation_70pct,0.3,40.1894300890678,0.4,0.6458246542435051
correlation_60pct,0.3,35.19716193001684,0.35,0.46721339814735974
accuracy_80pct,0.3,86.0309273622326,0.86,0.855319598956335
accuracy_70pct,0.3,75.03865920273492,0.75,0.613232435727557
accuracy_60pct,0.3,67.05025696471687,0.67,0.5734043214129642
correlation_70pct,0.3,38.17783232954284,0.38,0.6080175434275336
correlation_60pct,0.3,39.16236864920831,0.39,0.5523548480580056
accuracy_80pct,0.3,83.0347932821487,0.83,0.7784393735285663
accuracy_70pct,0.3,76.05025696337668,0.76,0.729837170169289
accuracy_60pct,0.3,71.04252512421456,0.71,0.5898150933405689
correlation_70pct,0.3,35.18556417026851,0.35,0.5932127632531236
correlation_60pct,0.3,34.20102784993295,0.34,0.6078928863296671
accuracy_80pct,0.3,86.03865920206482,0.86,0.8756307031314599
accuracy_70pct,0.3,79.05025696315332,0.79,0.7717854661653516
accuracy_60pct,0.3,69.05798880432573,0.69,0.5429028592688876
correlation_70pct,0.3,50.16236864764476,0.5,0.6712041727883122
correlation_60pct,0.3,44.16623456845432,0.44,0.590764904437541
accuracy_80pct,0.3,83.02319552240039,0.83,0.7867242757340857
accuracy_70pct,0.3,77.02706144276323,0.77,0.5908294200285761
accuracy_60pct,0.3,75.05412288373952,0.75,0.7384156132193421
correlation_70pct,0.3,46.18556416803487,0.46,0.7508286651818931
correlation_60pct,0.3,44.15850272884548,0.44,0.6281095045630574
accuracy_80pct,0.3,84.04252512198093,0.84,0.7895066528924776
accuracy_70pct,0.3,78.05798880343227,0.78,0.789364926024203
accuracy_60pct,0.3,65.07731840479971,0.65,0.49121382358118587
correlation_70pct,0.3,49.1546368080359,0.49,0.6476436369678231
correlation_60pct,0.3,43.15077088923662,0.43,0.5637304444349143
accuracy_80pct,0.3,85.04639104189704,0.85,0.8802510432206239
accuracy_70pct,0.3,81.04639104301386,0.81,0.7903512533668352
accuracy_60pct,0.3,66.08118432449248,0.66,0.5387028653380451
correlation_70pct,0.3,50.14690496798032,0.5,0.6926838905225638
correlation_60pct,0.3,39.18169824945895,0.39,0.5768879721145971
accuracy_80pct,0.3,86.02319552173029,0.86,0.7603349046629921
accuracy_70pct,0.3,80.03479328281881,0.8,0.7464665052766418
accuracy_60pct,0.3,68.07345248466025,0.68,0.636679578727754
correlation_70pct,0.3,51.16236864742141,0.51,0.7606618531642333
correlation_60pct,0.3,40.16623456934778,0.4,0.5544355638547432
accuracy_80pct,0.3,81.0425251228744,0.81,0.8253433110347982
accuracy_70pct,0.3,77.03479328281881,0.77,0.6560629501182749
accuracy_60pct,0.3,71.05025696449351,0.71,0.6724020716378696
correlation_70pct,0.3,43.17783232887274,0.43,0.6375257052830738
correlation_60pct,0.3,32.19329601010073,0.32,0.46310694430333177
accuracy_80pct,0.3,83.0386592027349,0.83,0.8266760806803773
accuracy_70pct,0.3,75.04252512376783,0.75,0.653176614883509
accuracy_60pct,0.3,76.05025696360005,0.76,0.7297102608808762
correlation_70pct,0.3,33.18943009018462,0.33,0.4657951324347148
correlation_60pct,0.3,37.181698249682306,0.37,0.5706757263995779
accuracy_80pct,0.3,84.04639104234377,0.84,0.8933736013205494
accuracy_70pct,0.3,79.05412288284609,0.79,0.7993222631767589
accuracy_60pct,0.3,70.06185472379511,0.7,0.6390462800895687
correlation_70pct,0.3,39.170100489487254,0.39,0.5727888824228846
correlation_60pct,0.3,31.189430090631337,0.31,0.4842007721280732
accuracy_80pct,0.3,85.0425251215342,0.85,0.8326770557625695
accuracy_70pct,0.3,75.0425251233211,0.75,0.6116378423847693
accuracy_60pct,0.3,73.04252512309775,0.73,0.5113407701639715
correlation_70pct,0.3,47.16623456823096,0.47,0.6745032331909325
correlation_60pct,0.3,29.20102785104975,0.29,0.4540778455716944
accuracy_80pct,0.3,86.04639104189704,0.86,0.8975209893066657
accuracy_70pct,0.3,74.06958656362733,0.74,0.7175891331122651
accuracy_60pct,0.3,70.05798880477246,0.7,0.6064484827031253
correlation_70pct,0.3,40.19329600898391,0.4,0.621090145437799
correlation_60pct,0.3,37.170100489933986,0.37,0.4678720379211361
accuracy_80pct,0.3,87.0309273615625,0.87,0.7982110149415407
accuracy_70pct,0.3,76.06958656295724,0.76,0.7068039567900636
accuracy_60pct,0.3,70.04639104346057,0.7,0.44235688532096423
correlation_70pct,0.3,36.20489376984906,0.36,0.6133492192366173
correlation_60pct,0.3,34.197161929793474,0.34,0.5007316652647854
accuracy_80pct,0.3,87.01159776198196,0.87,0.7429529040367165
accuracy_70pct,0.3,79.02319552262375,0.79,0.6347535370523053
accuracy_60pct,0.3,72.0425251233211,0.72,0.49282550170404915
correlation_70pct,0.3,37.17783232998956,0.37,0.6077555441779794
correlation_60pct,0.3,46.13917312881819,0.46,0.5680371114522802
accuracy_80pct,0.3,85.02706144253986,0.85,0.83517012809313
accuracy_70pct,0.3,77.04252512265101,0.77,0.6453134019876294
accuracy_60pct,0.3,71.05798880410237,0.71,0.6325859904963698
correlation_70pct,0.3,37.1894300897379,0.37,0.6193531759228745
correlation_60pct,0.3,39.17396640940336,0.39,0.5632309614748182
accuracy_80pct,0.3,85.02706144186976,0.85,0.7748069483567143
accuracy_70pct,0.3,75.04639104368394,0.75,0.6946500948334493
accuracy_60pct,0.3,71.04252512376783,0.71,0.5531089906969459
correlation_70pct,0.3,44.17783232842602,0.44,0.6551103310795962
correlation_60pct,0.3,36.20102784970958,0.36,0.6113975121969094
accuracy_80pct,0.3,83.03865920251154,0.83,0.8337868019240758
accuracy_70pct,0.3,77.0309273633494,0.77,0.669038171910104
accuracy_60pct,0.3,66.06958656429742,0.66,0.5782675187704213
correlation_70pct,0.3,48.1430390476175,0.48,0.5247475836814471
correlation_60pct,0.3,29.208759690658614,0.29,0.4929994602603791
accuracy_80pct,0.3,85.02319552195365,0.85,0.7745313441245052
accuracy_70pct,0.3,78.05025696315332,0.78,0.7815556617361491
accuracy_60pct,0.3,66.042525125108,0.66,0.4564217200067034
correlation_70pct,0.3,41.17010048926389,0.41,0.6733741718767782
correlation_60pct,0.3,33.18556417004515,0.33,0.49938837127928337
accuracy_80pct,0.3,88.02706144209313,0.88,0.892834614621597
accuracy_70pct,0.3,77.04639104346059,0.77,0.7001097612598058
accuracy_60pct,0.3,69.06958656474414,0.69,0.5893300131297743
correlation_70pct,0.3,37.18943008951453,0.37,0.48096443661516786
correlation_60pct,0.3,40.17010048881717,0.4,0.48197521591774123
accuracy_80pct,0.3,82.02706144320993,0.82,0.811441825909274
accuracy_70pct,0.3,78.03865920273492,0.78,0.7244025120864274
accuracy_60pct,0.3,69.06185472379511,0.69,0.5606849257940522
correlation_70pct,0.3,41.166234569571145,0.41,0.667262464660164
correlation_60pct,0.3,37.18169824990567,0.37,0.6164605333388593
accuracy_80pct,0.3,86.03092736200924,0.86,0.8100814978137042
accuracy_70pct,0.3,77.04639104323721,0.77,0.7224932200926567
accuracy_60pct,0.3,65.08891616499477,0.65,0.6291337840560445
correlation_70pct,0.3,40.18169824945895,0.4,0.6147217028429317
correlation_60pct,0.3,41.18556416870497,0.41,0.5714978005123074
accuracy_80pct,0.3,83.05025696248325,0.83,0.8460755088357407
accuracy_70pct,0.3,76.05412288373952,0.76,0.7235370707465226
accuracy_60pct,0.3,73.07345248354343,0.73,0.6951499649346048
correlation_70pct,0.3,43.185564168704964,0.43,0.6839683758503405
correlation_60pct,0.3,39.17396640985008,0.39,0.5263643013870688
accuracy_80pct,0.3,84.02319552240039,0.84,0.7578996554700632
accuracy_70pct,0.3,77.06572064348785,0.77,0.8140984894215112
accuracy_60pct,0.3,68.06185472468857,0.68,0.6134693944467892
correlation_70pct,0.3,39.19716192890002,0.39,0.6082565123477184
correlation_60pct,0.3,44.17010048814708,0.44,0.6364940784724323
accuracy_80pct,0.3,84.01932960181418,0.84,0.7146087965011616
accuracy_70pct,0.3,77.0579888032089,0.77,0.7777871992608545
accuracy_60pct,0.3,74.04639104368394,0.74,0.6658954979661377
correlation_70pct,0.3,38.20489376940233,0.38,0.6917931786772232
correlation_60pct,0.3,33.16623457091132,0.33,0.4325104113084747
accuracy_80pct,0.3,82.03092736267932,0.82,0.7615730007577738
accuracy_70pct,0.3,79.03479328192535,0.79,0.5981151852754664
accuracy_60pct,0.3,68.04639104480077,0.68,0.5399925895988245
correlation_70pct,0.3,42.170100489263895,0.42,0.6551097622602804
correlation_60pct,0.3,36.193296009654,0.36,0.5766437146006466
accuracy_80pct,0.3,84.03479328237208,0.84,0.8466309143067321
accuracy_70pct,0.3,78.05025696292996,0.78,0.7767287854135382
accuracy_60pct,0.3,69.05412288396289,0.69,0.5410727813631127
correlation_70pct,0.3,40.18556416892832,0.4,0.6328056723707529
correlation_60pct,0.3,37.19329600920727,0.37,0.5816702150706957
accuracy_80pct,0.3,83.03479328259544,0.83,0.7658958740885087
accuracy_70pct,0.3,73.03092736379614,0.73,0.5273928990071509
