grader_type,sigma,rbf_score,accuracy,spearman
accuracy_60pct,0.1,68.0,0.68,0.6641517990952011
correlation_70pct,0.1,41.0,0.41,0.669386996191172
correlation_60pct,0.1,40.0,0.4,0.4869171284800724
accuracy_80pct,0.1,87.0,0.87,0.8699114797519482
accuracy_70pct,0.1,78.0,0.78,0.7320586105837203
accuracy_60pct,0.1,67.0,0.67,0.6126702331772845
correlation_70pct,0.1,44.0,0.44,0.6351499847005939
correlation_60pct,0.1,31.0,0.31,0.5597538954128246
accuracy_80pct,0.1,84.0,0.84,0.7137039716228305
accuracy_70pct,0.1,77.0,0.77,0.6427019391933
accuracy_60pct,0.1,65.0,0.65,0.5767612863500495
correlation_70pct,0.1,46.0,0.46,0.5710435184019899
correlation_60pct,0.1,28.0,0.28,0.4436869867760875
accuracy_80pct,0.1,85.0,0.85,0.8644260032370737
accuracy_70pct,0.1,80.0,0.8,0.7162918156882702
accuracy_60pct,0.1,73.0,0.73,0.5599837435071081
correlation_70pct,0.1,47.0,0.47,0.6532245072892414
correlation_60pct,0.1,39.0,0.39,0.5003273652960176
accuracy_80pct,0.1,83.0,0.83,0.8244654036399093
accuracy_70pct,0.1,73.0,0.73,0.5847735545066789
accuracy_60pct,0.1,70.0,0.7,0.551783308142489
correlation_70pct,0.1,39.0,0.39,0.6463853666663152
correlation_60pct,0.1,35.0,0.35,0.6199548672174949
accuracy_80pct,0.1,87.0,0.87,0.8487590456903432
accuracy_70pct,0.1,75.0,0.75,0.6601954049065671
accuracy_60pct,0.1,69.0,0.69,0.4474349031171988
correlation_70pct,0.1,41.0,0.41,0.588495872691354
correlation_60pct,0.1,31.0,0.31,0.4893616480532593
accuracy_80pct,0.1,87.0,0.87,0.9205688995512578
accuracy_70pct,0.1,75.0,0.75,0.7406382411968035
accuracy_60pct,0.1,72.0,0.72,0.7155771262220445
correlation_70pct,0.1,33.0,0.33,0.5122166775066836
correlation_60pct,0.1,37.0,0.37,0.6595576330493466
accuracy_80pct,0.1,87.0,0.87,0.8924134852305223
accuracy_70pct,0.1,77.0,0.77,0.6331274877689316
accuracy_60pct,0.1,65.0,0.65,0.41939320860706975
correlation_70pct,0.1,49.0,0.49,0.6528894355686762
correlation_60pct,0.1,35.0,0.35,0.512159115539874
accuracy_80pct,0.1,84.0,0.84,0.8420914248530412
accuracy_70pct,0.1,76.0,0.76,0.6330377659251283
accuracy_60pct,0.1,71.0,0.71,0.618802883255179
correlation_70pct,0.1,42.0,0.42,0.6614667855422914
correlation_60pct,0.1,40.0,0.4,0.5557804856162599
accuracy_80pct,0.1,85.0,0.85,0.7652630507429181
accuracy_70pct,0.1,76.0,0.76,0.6282106097440662
accuracy_60pct,0.1,72.0,0.72,0.6535324339468289
correlation_70pct,0.1,38.0,0.38,0.47661327178866625
correlation_60pct,0.1,33.0,0.33,0.4331142864307041
accuracy_80pct,0.1,86.0,0.86,0.7275577058728028
accuracy_70pct,0.1,78.0,0.78,0.694957351799283
accuracy_60pct,0.1,67.0,0.67,0.5129000683698572
correlation_70pct,0.1,38.0,0.38,0.6774649676948187
correlation_60pct,0.1,41.0,0.41,0.5992121430671629
accuracy_80pct,0.1,84.0,0.84,0.7836801787438094
accuracy_70pct,0.1,79.0,0.79,0.7820045788121011
accuracy_60pct,0.1,67.0,0.67,0.5064167635683531
correlation_70pct,0.1,43.0,0.43,0.6683956214887531
correlation_60pct,0.1,36.0,0.36,0.5036349246807725
accuracy_80pct,0.1,88.0,0.88,0.9093347868187249
accuracy_70pct,0.1,81.0,0.81,0.7785981907653096
accuracy_60pct,0.1,69.0,0.69,0.6277619457496817
correlation_70pct,0.1,35.0,0.35,0.5813781364099415
correlation_60pct,0.1,32.0,0.32,0.48674761639157477
accuracy_80pct,0.1,83.0,0.83,0.791822749999577
accuracy_70pct,0.1,77.0,0.77,0.7450665996084163
accuracy_60pct,0.1,66.0,0.66,0.6051679583754741
correlation_70pct,0.1,56.0,0.56,0.7430681151463632
correlation_60pct,0.1,45.0,0.45,0.5479852965616255
accuracy_80pct,0.1,85.0,0.85,0.7869575808082532
accuracy_70pct,0.1,77.0,0.77,0.6417113632780364
accuracy_60pct,0.1,69.0,0.69,0.5295410633016937
correlation_70pct,0.1,39.0,0.39,0.5968662900563283
correlation_60pct,0.1,37.0,0.37,0.5410425352866769
accuracy_80pct,0.1,87.0,0.87,0.8103570280450655
accuracy_70pct,0.1,73.0,0.73,0.8211288960751562
accuracy_60pct,0.1,69.0,0.69,0.5080835733602298
correlation_70pct,0.1,38.0,0.38,0.6339830351526351
