simulation,grader_type,rbf_score,accuracy,spearman
9,accuracy_70pct,84.42685817319584,0.8,0.8051774602614472
9,accuracy_60pct,73.93657967444076,0.68,0.6170827180813798
9,correlation_70pct,58.735573287789364,0.43,0.6631896720726873
9,correlation_60pct,49.21163772330132,0.32,0.4779758745975578
10,accuracy_80pct,85.0326507786712,0.81,0.7183582729530121
10,accuracy_70pct,81.52508142313809,0.76,0.7789702155153173
10,accuracy_60pct,78.55609332536442,0.72,0.6775988927109693
10,correlation_70pct,53.30639410803461,0.34,0.603475397806325
10,correlation_60pct,55.177467144745265,0.38,0.6023024165055219
11,accuracy_80pct,90.57377433500189,0.88,0.8248310653886153
11,accuracy_70pct,83.44363543596538,0.79,0.7754349636463479
11,accuracy_60pct,80.91623300626838,0.74,0.7539019605155621
11,correlation_70pct,57.1745137923594,0.39,0.561221317875925
11,correlation_60pct,56.375433606885395,0.41,0.5746258839090913
12,accuracy_80pct,87.04942779788459,0.83,0.856778261758158
12,accuracy_70pct,82.78730604297903,0.78,0.7633110256794362
12,accuracy_60pct,76.26306237079713,0.7,0.6328090993758525
12,correlation_70pct,63.89957457650267,0.5,0.6730517483400363
12,correlation_60pct,53.803195526949146,0.38,0.522034316335252
13,accuracy_80pct,87.64139641179091,0.85,0.859111771031416
13,accuracy_70pct,84.09996482895173,0.8,0.7716247316900525
13,accuracy_60pct,72.31390734718737,0.66,0.540631257255448
13,correlation_70pct,59.17430838723016,0.41,0.6438753207822037
13,correlation_60pct,47.01377396372581,0.28,0.4057125900795528
14,accuracy_80pct,88.26417144160891,0.86,0.8089372416021895
14,accuracy_70pct,80.16463379691103,0.75,0.656408635115326
14,accuracy_60pct,71.77216765665435,0.64,0.5940029300950803
14,correlation_70pct,57.23887457143945,0.38,0.6397815104485064
14,correlation_60pct,47.75124131737638,0.28,0.5192081489695914
15,accuracy_80pct,90.21363449172715,0.88,0.8186242392619838
15,accuracy_70pct,78.8548255795742,0.74,0.6589168083690613
15,accuracy_60pct,71.61274230396177,0.67,0.5078980313937256
15,correlation_70pct,59.17430838723015,0.41,0.6551036827374104
15,correlation_60pct,56.5041551650455,0.39,0.5656055711661555
16,accuracy_80pct,89.1969600127076,0.87,0.7414019088695009
16,accuracy_70pct,79.1480619392707,0.74,0.632439784258423
16,accuracy_60pct,75.9363742693115,0.7,0.6542413321924212
16,correlation_70pct,67.5192935513702,0.53,0.7044424160975744
16,correlation_60pct,54.30629140547,0.35,0.5720748882033684
17,accuracy_80pct,90.65511753842458,0.87,0.8903780456982086
17,accuracy_70pct,84.06651308716263,0.8,0.7708231109486505
17,accuracy_60pct,75.33027379969845,0.69,0.678263613996204
17,correlation_70pct,55.928963732723375,0.37,0.5900132210437004
17,correlation_60pct,56.81406608494696,0.39,0.5254526378060193
18,accuracy_80pct,85.01872416572289,0.82,0.7911688465877887
18,accuracy_70pct,79.42726906463969,0.75,0.6384199895185707
18,accuracy_60pct,78.90240917707007,0.73,0.7067130891509718
18,correlation_70pct,57.375330904320776,0.42,0.5675417751391001
18,correlation_60pct,54.099179833902284,0.39,0.5032647130363691
19,accuracy_80pct,88.65522032217459,0.85,0.8390523784157797
19,accuracy_70pct,81.72304796646361,0.78,0.6863101722119636
19,accuracy_60pct,78.39646272991337,0.75,0.6183535509482871
19,correlation_70pct,60.042736179248806,0.43,0.6582569046903569
19,correlation_60pct,55.878632187970865,0.37,0.602499101878941
20,accuracy_80pct,87.03254799492119,0.83,0.811317360877976
20,accuracy_70pct,82.52487609919422,0.77,0.7629968243706754
20,accuracy_60pct,69.83876747831313,0.65,0.29002518256798915
20,correlation_70pct,62.37206944424105,0.46,0.7071241599130145
20,correlation_60pct,54.425970556767155,0.39,0.5026483167462656
21,accuracy_80pct,87.56015582974743,0.86,0.7110104071897709
