simulation,grader_type,linear_score,accuracy,spearman
242,correlation_70pct,83.5,0.4,0.6670154226915609
242,correlation_60pct,80.5,0.38,0.551410931953899
243,accuracy_80pct,93.0,0.83,0.7852364890022485
243,accuracy_70pct,90.5,0.76,0.7346721973122972
243,accuracy_60pct,84.25,0.67,0.4895899267245828
243,correlation_70pct,86.5,0.5,0.7761346227182896
243,correlation_60pct,80.0,0.42,0.5387970561967262
244,accuracy_80pct,92.25,0.84,0.7549628010961986
244,accuracy_70pct,87.0,0.77,0.5428899201788685
244,accuracy_60pct,83.75,0.65,0.553362693059415
244,correlation_70pct,82.0,0.4,0.7069625769425384
244,correlation_60pct,77.25,0.3,0.5783645289472823
245,accuracy_80pct,92.25,0.85,0.730520221277808
245,accuracy_70pct,90.75,0.78,0.7344510310477691
245,accuracy_60pct,88.25,0.71,0.6657639946826919
245,correlation_70pct,80.5,0.33,0.6323580218445495
245,correlation_60pct,77.0,0.3,0.44855762576385816
246,accuracy_80pct,94.0,0.86,0.7937245297155419
246,accuracy_70pct,91.0,0.77,0.7028309720698479
246,accuracy_60pct,89.0,0.72,0.6645058241948006
246,correlation_70pct,85.25,0.54,0.6834064751861384
246,correlation_60pct,78.75,0.35,0.5462068651498764
247,accuracy_80pct,92.5,0.84,0.7804291425312879
247,accuracy_70pct,91.25,0.78,0.7809733609257191
247,accuracy_60pct,86.5,0.65,0.7055975854534174
247,correlation_70pct,79.5,0.36,0.648481110176586
247,correlation_60pct,78.0,0.35,0.5835525408243962
248,accuracy_80pct,92.75,0.83,0.7499842233488948
248,accuracy_70pct,89.25,0.76,0.6387876451308298
248,accuracy_60pct,89.0,0.72,0.6539277008241128
248,correlation_70pct,81.25,0.38,0.5976152972517041
248,correlation_60pct,79.25,0.32,0.5153008281155699
249,accuracy_80pct,93.5,0.86,0.7690255902445252
249,accuracy_70pct,92.25,0.78,0.7765207766947398
249,accuracy_60pct,85.25,0.65,0.5464908202598805
249,correlation_70pct,81.0,0.38,0.6507470255571128
249,correlation_60pct,78.25,0.32,0.5418013817371737
250,accuracy_80pct,91.25,0.83,0.6952054755147039
250,accuracy_70pct,88.0,0.77,0.584550594261929
250,accuracy_60pct,88.25,0.71,0.656787253654562
250,correlation_70pct,80.75,0.38,0.5910751536416575
250,correlation_60pct,81.25,0.4,0.614807250823412
251,accuracy_80pct,92.75,0.8,0.7665717330377465
251,accuracy_70pct,90.5,0.79,0.6514287873355302
251,accuracy_60pct,88.0,0.72,0.5304732294523388
251,correlation_70pct,81.0,0.37,0.5575010461951502
251,correlation_60pct,81.25,0.37,0.5423200670477295
252,accuracy_80pct,91.75,0.85,0.7314396431290442
252,accuracy_70pct,88.75,0.77,0.6126375203634083
252,accuracy_60pct,88.0,0.73,0.6389861617876239
252,correlation_70pct,80.75,0.42,0.5915489085232727
252,correlation_60pct,80.25,0.41,0.5924643016098221
253,accuracy_80pct,93.25,0.84,0.7898079425334059
253,accuracy_70pct,90.0,0.76,0.6775913436764256
253,accuracy_60pct,87.0,0.71,0.4853909298163763
253,correlation_70pct,83.5,0.45,0.6381965693777418
253,correlation_60pct,79.25,0.34,0.6226262740887387
254,accuracy_80pct,93.75,0.84,0.7989503917264725
254,accuracy_70pct,88.5,0.75,0.6286957887947506
254,accuracy_60pct,88.0,0.69,0.6579211550732033
254,correlation_70pct,86.25,0.53,0.7454503959772627
254,correlation_60pct,80.0,0.41,0.5150961691372451
255,accuracy_80pct,95.0,0.87,0.8570285908127614
255,accuracy_70pct,89.75,0.77,0.7245113055582907
255,accuracy_60pct,85.25,0.69,0.51305934064226
255,correlation_70pct,82.5,0.47,0.6386652037763749
255,correlation_60pct,77.5,0.33,0.5178413165367767
256,accuracy_80pct,92.0,0.85,0.7177239821639999
256,accuracy_70pct,90.5,0.78,0.6914231400704564
256,accuracy_60pct,87.75,0.71,0.6156005368302875
256,correlation_70pct,86.75,0.56,0.6908237313826877
256,correlation_60pct,82.5,0.41,0.6626284800763763
257,accuracy_80pct,96.25,0.9,0.9072969123595213
257,accuracy_70pct,91.5,0.79,0.6753231418929052
257,accuracy_60pct,87.5,0.66,0.6401886833055722
257,correlation_70pct,84.0,0.42,0.6662544701330405
257,correlation_60pct,80.5,0.39,0.5028152142067537
258,accuracy_80pct,92.75,0.82,0.7852590956695087
258,accuracy_70pct,89.25,0.76,0.6892276418224349
258,accuracy_60pct,87.75,0.66,0.6645344601744562
258,correlation_70pct,85.0,0.5,0.6793829505165461
258,correlation_60pct,80.5,0.4,0.5426510010596579
259,accuracy_80pct,94.25,0.86,0.7993278243428095
259,accuracy_70pct,89.5,0.74,0.6528597370500538
259,accuracy_60pct,89.25,0.74,0.6777415196073528
259,correlation_70pct,80.75,0.33,0.6350714077452054
259,correlation_60pct,79.5,0.36,0.45553134042102106
260,accuracy_80pct,93.75,0.85,0.8326017733124521
260,accuracy_70pct,91.75,0.77,0.7857445423449586
260,accuracy_60pct,86.75,0.71,0.5976722372371849
260,correlation_70pct,82.0,0.42,0.6462393577476883
260,correlation_60pct,81.75,0.38,0.6414787771937986
261,accuracy_80pct,94.5,0.87,0.8131160949090459
261,accuracy_70pct,90.5,0.78,0.6914704895088616
261,accuracy_60pct,87.25,0.68,0.6350207403950163
261,correlation_70pct,82.75,0.42,0.6444070484660764
261,correlation_60pct,78.25,0.32,0.513227548847399
262,accuracy_80pct,94.0,0.83,0.8653671127323479
262,accuracy_70pct,87.25,0.74,0.5198527044150725
262,accuracy_60pct,89.25,0.73,0.6601106787169524
262,correlation_70pct,80.5,0.38,0.5201136349670791
262,correlation_60pct,81.75,0.4,0.5936703617898605
263,accuracy_80pct,93.75,0.86,0.7968943191612091
263,accuracy_70pct,90.75,0.78,0.7194202890904489
263,accuracy_60pct,87.5,0.68,0.6478791751057554
263,correlation_70pct,82.25,0.46,0.60062677575361
263,correlation_60pct,77.25,0.36,0.4666009015907518
264,accuracy_80pct,93.5,0.84,0.8073725722083087
264,accuracy_70pct,92.25,0.82,0.7937991237141122
264,accuracy_60pct,87.25,0.68,0.6592347607385542
264,correlation_70pct,79.5,0.36,0.5943553035004262
264,correlation_60pct,78.5,0.28,0.5038804391392033
265,accuracy_80pct,91.75,0.82,0.7600976951251659
265,accuracy_70pct,90.0,0.79,0.6951783653049004
265,accuracy_60pct,87.75,0.7,0.6741457625814165
265,correlation_70pct,81.5,0.4,0.6319449340181952
265,correlation_60pct,74.75,0.27,0.47694966440330444
266,accuracy_80pct,93.5,0.84,0.8332943047748421
266,accuracy_70pct,89.25,0.74,0.6673513158528066
266,accuracy_60pct,86.5,0.67,0.600448638499509
266,correlation_70pct,81.0,0.39,0.602302775138201
266,correlation_60pct,78.25,0.34,0.48912071978790167
267,accuracy_80pct,93.25,0.82,0.8044599055242715
267,accuracy_70pct,89.5,0.77,0.6379256599776767
267,accuracy_60pct,88.5,0.72,0.6594167118533656
267,correlation_70pct,83.25,0.42,0.6615373906383727
267,correlation_60pct,78.0,0.32,0.5363324840851181
268,accuracy_80pct,94.25,0.85,0.837113165282715
268,accuracy_70pct,88.75,0.74,0.6563240299616984
268,accuracy_60pct,88.25,0.69,0.6672815840921084
268,correlation_70pct,83.75,0.43,0.6793890421864506
268,correlation_60pct,83.0,0.44,0.633957953914579
269,accuracy_80pct,93.25,0.85,0.7822441714370308
269,accuracy_70pct,90.75,0.8,0.7416658672874956
269,accuracy_60pct,86.75,0.69,0.6131173871360694
269,correlation_70pct,81.75,0.44,0.6380886584170685
269,correlation_60pct,79.0,0.36,0.5201116347844205
270,accuracy_80pct,95.0,0.88,0.8620747686945545
270,accuracy_70pct,90.25,0.74,0.7434567047131782
270,accuracy_60pct,84.75,0.7,0.4215662775050727
270,correlation_70pct,84.0,0.48,0.6609357333492081
270,correlation_60pct,77.25,0.26,0.527435293490185
271,accuracy_80pct,93.25,0.84,0.7933311990529013
271,accuracy_70pct,89.25,0.76,0.6687412346323663
271,accuracy_60pct,87.0,0.72,0.5902948332993537
271,correlation_70pct,83.25,0.4,0.7071441232069071
271,correlation_60pct,80.0,0.38,0.6103230945014124
272,accuracy_80pct,94.0,0.87,0.7690904102712649
272,accuracy_70pct,92.5,0.8,0.8036653905286288
272,accuracy_60pct,89.0,0.74,0.6038803557603382
272,correlation_70pct,83.25,0.45,0.6444986888721855
272,correlation_60pct,79.0,0.38,0.471918023631556
273,accuracy_80pct,93.75,0.85,0.8247459071089157
273,accuracy_70pct,89.25,0.75,0.6652359669619116
273,accuracy_60pct,86.25,0.72,0.5552412456942659
273,correlation_70pct,79.5,0.29,0.6584370402672978
273,correlation_60pct,77.5,0.33,0.5366237024528766
274,accuracy_80pct,94.75,0.86,0.7878911056555612
274,accuracy_70pct,90.0,0.76,0.6534124146317821
274,accuracy_60pct,88.5,0.69,0.6234309502135058
274,correlation_70pct,80.5,0.34,0.5893177279792402
274,correlation_60pct,79.75,0.35,0.4207503851896334
275,accuracy_80pct,94.5,0.88,0.8012464054629024
275,accuracy_70pct,92.75,0.77,0.8255360309471519
275,accuracy_60pct,87.75,0.73,0.5951699426671834
275,correlation_70pct,80.75,0.41,0.5686180401938504
275,correlation_60pct,81.0,0.35,0.6633703765785941
276,accuracy_80pct,96.0,0.9,0.8706890583809292
276,accuracy_70pct,91.0,0.78,0.7560268582076839
276,accuracy_60pct,88.0,0.7,0.5783940851906488
276,correlation_70pct,82.25,0.38,0.6415731936943808
276,correlation_60pct,80.5,0.39,0.5266599148811136
277,accuracy_80pct,94.25,0.82,0.8211509127489532
277,accuracy_70pct,92.25,0.75,0.7665491314439792
277,accuracy_60pct,88.25,0.7,0.5409949669984501
277,correlation_70pct,84.25,0.44,0.696503485112554
277,correlation_60pct,81.25,0.4,0.48647814729589733
278,accuracy_80pct,94.25,0.85,0.8388157369203483
278,accuracy_70pct,90.25,0.77,0.6517572917946183
278,accuracy_60pct,90.25,0.76,0.6816942757793955
278,correlation_70pct,83.5,0.41,0.7047791547844348
278,correlation_60pct,79.25,0.33,0.5112603186793442
279,accuracy_80pct,96.25,0.91,0.8871413870191467
279,accuracy_70pct,91.5,0.78,0.7616732819722624
279,accuracy_60pct,84.5,0.69,0.45487162313174445
279,correlation_70pct,82.0,0.47,0.5454629735666106
279,correlation_60pct,77.75,0.32,0.466486159437164
280,accuracy_80pct,91.25,0.83,0.701299018677225
280,accuracy_70pct,91.5,0.8,0.7591819486160866
280,accuracy_60pct,85.5,0.72,0.538198307344207
280,correlation_70pct,80.75,0.39,0.6535393024874577
280,correlation_60pct,78.25,0.36,0.5556439212749615
281,accuracy_80pct,93.75,0.85,0.8367624248505846
281,accuracy_70pct,93.75,0.84,0.8390554696326058
281,accuracy_60pct,85.75,0.69,0.5969790886700918
281,correlation_70pct,82.75,0.46,0.6345594101715302
281,correlation_60pct,78.0,0.36,0.5032134476584149
282,accuracy_80pct,93.0,0.86,0.7952230819163597
282,accuracy_70pct,87.25,0.74,0.5918910697372566
282,accuracy_60pct,86.5,0.66,0.6190947041270306
282,correlation_70pct,80.0,0.39,0.5911849732607767
282,correlation_60pct,75.5,0.26,0.4828975012176972
283,accuracy_80pct,93.5,0.84,0.8145866265072613
283,accuracy_70pct,87.75,0.74,0.608024349676007
283,accuracy_60pct,87.25,0.69,0.6769035736689368
283,correlation_70pct,86.5,0.52,0.7515241844367452
283,correlation_60pct,74.25,0.29,0.3627932456020178
284,accuracy_80pct,93.5,0.85,0.8096027392840589
284,accuracy_70pct,89.0,0.75,0.6823020619417299
284,accuracy_60pct,86.0,0.66,0.6433712241830195
284,correlation_70pct,85.75,0.49,0.7443356367380084
284,correlation_60pct,79.0,0.37,0.5327864138394178
285,accuracy_80pct,95.25,0.88,0.8812386797013124
285,accuracy_70pct,91.75,0.79,0.8045544192357942
285,accuracy_60pct,87.25,0.71,0.6463632733863632
285,correlation_70pct,78.5,0.32,0.5831861314967166
285,correlation_60pct,77.0,0.33,0.5004742006519012
286,accuracy_80pct,95.5,0.87,0.8797931969438451
286,accuracy_70pct,89.25,0.76,0.6413769290719924
286,accuracy_60pct,86.0,0.67,0.5498526326061238
286,correlation_70pct,78.75,0.37,0.48095516506352026
286,correlation_60pct,79.0,0.41,0.5006523800361888
287,accuracy_80pct,92.75,0.86,0.7454988715974517
287,accuracy_70pct,90.75,0.78,0.7482571948950011
287,accuracy_60pct,86.0,0.7,0.5740307698934826
287,correlation_70pct,82.25,0.42,0.6544368848795903
287,correlation_60pct,78.0,0.34,0.45059101512743616
288,accuracy_80pct,94.5,0.88,0.8694115717851042
288,accuracy_70pct,90.25,0.77,0.6786780666367529
288,accuracy_60pct,86.5,0.69,0.6352817570846577
288,correlation_70pct,79.75,0.36,0.5799624127567762
288,correlation_60pct,77.75,0.32,0.5908865108062412
289,accuracy_80pct,94.75,0.85,0.8717604969893498
289,accuracy_70pct,90.25,0.79,0.6522426907319578
289,accuracy_60pct,90.25,0.74,0.687007249393022
289,correlation_70pct,81.5,0.39,0.6054948219286799
289,correlation_60pct,81.5,0.4,0.5813343811534426
290,accuracy_80pct,92.0,0.85,0.7298302826791182
290,accuracy_70pct,91.75,0.8,0.7129340779697835
290,accuracy_60pct,87.5,0.7,0.5935244772992024
290,correlation_70pct,81.5,0.42,0.5430924104238503
290,correlation_60pct,78.0,0.35,0.44810435718728764
291,accuracy_80pct,94.25,0.86,0.8398371418750834
291,accuracy_70pct,88.75,0.76,0.6578835477393874
291,accuracy_60pct,86.0,0.66,0.5897674751221074
291,correlation_70pct,83.5,0.43,0.7047757678661144
291,correlation_60pct,78.25,0.32,0.5732569395318344
292,accuracy_80pct,94.0,0.85,0.8348771663637548
292,accuracy_70pct,87.25,0.72,0.6077100617461869
292,accuracy_60pct,88.75,0.69,0.718510518962944
292,correlation_70pct,82.0,0.44,0.644071679169925
292,correlation_60pct,79.25,0.38,0.5766936376957943
293,accuracy_80pct,93.25,0.84,0.8012370720044085
293,accuracy_70pct,89.0,0.74,0.6286994479985535
293,accuracy_60pct,86.25,0.72,0.545634659017559
293,correlation_70pct,80.25,0.36,0.5116921805128067
293,correlation_60pct,80.5,0.36,0.5659612474640686
294,accuracy_80pct,93.25,0.85,0.7766563941252268
294,accuracy_70pct,87.5,0.73,0.5794326508610573
294,accuracy_60pct,87.0,0.68,0.6437824700105832
294,correlation_70pct,80.25,0.37,0.5922297640441605
294,correlation_60pct,80.5,0.39,0.6022943417769727
295,accuracy_80pct,93.25,0.84,0.8091245539968349
295,accuracy_70pct,89.0,0.76,0.6626261065433023
295,accuracy_60pct,85.5,0.7,0.5158894562154831
295,correlation_70pct,80.75,0.44,0.5660478375258722
295,correlation_60pct,79.25,0.34,0.5331658677550871
296,accuracy_80pct,94.25,0.87,0.8012880110393483
296,accuracy_70pct,90.0,0.76,0.6922313848253583
296,accuracy_60pct,89.75,0.73,0.6892342405936267
296,correlation_70pct,84.25,0.47,0.6507803921422719
296,correlation_60pct,79.0,0.34,0.5029588844940053
297,accuracy_80pct,93.25,0.85,0.8106785284847785
297,accuracy_70pct,89.5,0.79,0.6738902821804734
297,accuracy_60pct,85.0,0.69,0.5675906769423658
297,correlation_70pct,85.75,0.52,0.7288485383138142
297,correlation_60pct,77.5,0.36,0.5237946535620366
298,accuracy_80pct,92.25,0.82,0.7543219163783289
298,accuracy_70pct,87.75,0.74,0.6059222166667495
298,accuracy_60pct,89.25,0.72,0.6889954886659732
298,correlation_70pct,84.25,0.45,0.7328930131444185
298,correlation_60pct,81.25,0.43,0.5481898440001429
299,accuracy_80pct,93.75,0.83,0.8258535004724975
299,accuracy_70pct,91.75,0.79,0.7572245889316053
299,accuracy_60pct,87.0,0.7,0.54080937439602
299,correlation_70pct,83.75,0.44,0.6567704040161975
299,correlation_60pct,80.5,0.39,0.5677432307314058
300,accuracy_80pct,93.25,0.84,0.8276271062671661
300,accuracy_70pct,91.0,0.78,0.7081996349821236
300,accuracy_60pct,86.25,0.71,0.5767662976306116
300,correlation_70pct,80.0,0.37,0.5501425322328986
300,correlation_60pct,77.5,0.33,0.5325691051701944
301,accuracy_80pct,93.25,0.85,0.8127883023560032
301,accuracy_70pct,89.5,0.77,0.6847966479862649
301,accuracy_60pct,87.25,0.67,0.6458929919364571
301,correlation_70pct,80.5,0.42,0.5137136157918166
301,correlation_60pct,79.25,0.36,0.5553760609142739
302,accuracy_80pct,94.25,0.86,0.8211882595969777
302,accuracy_70pct,87.25,0.74,0.5839832298522167
302,accuracy_60pct,84.75,0.69,0.5135662193310662
302,correlation_70pct,85.5,0.54,0.6669273030213294
302,correlation_60pct,81.25,0.44,0.6114820312661672
303,accuracy_80pct,91.5,0.86,0.6721920804198418
303,accuracy_70pct,90.75,0.78,0.7221239214782968
303,accuracy_60pct,85.5,0.67,0.5527751952102443
303,correlation_70pct,80.5,0.4,0.6075316023381545
303,correlation_60pct,75.75,0.31,0.4964378792789321
304,accuracy_80pct,94.0,0.86,0.8307457643584855
304,accuracy_70pct,89.75,0.75,0.7190548575353013
304,accuracy_60pct,89.0,0.73,0.6843877061284274
304,correlation_70pct,83.5,0.42,0.6686596402383175
304,correlation_60pct,81.25,0.4,0.6245424563556317
305,accuracy_80pct,95.0,0.86,0.8913079410535814
305,accuracy_70pct,89.75,0.78,0.6614369304517514
305,accuracy_60pct,87.0,0.71,0.5917762633844709
305,correlation_70pct,83.0,0.43,0.7098695207401372
305,correlation_60pct,76.5,0.3,0.4885413322702428
306,accuracy_80pct,94.0,0.83,0.859420536747285
306,accuracy_70pct,91.75,0.78,0.7884556418585039
306,accuracy_60pct,84.0,0.7,0.47499176581188757
306,correlation_70pct,80.75,0.42,0.645766654742984
306,correlation_60pct,79.75,0.4,0.4914472453599961
307,accuracy_80pct,92.75,0.84,0.7753654991718826
307,accuracy_70pct,92.25,0.82,0.7346248415119291
307,accuracy_60pct,86.5,0.68,0.5707461627223321
307,correlation_70pct,81.75,0.42,0.5637277352309891
307,correlation_60pct,76.5,0.33,0.36604376947777356
308,accuracy_80pct,93.75,0.85,0.8138488876703552
308,accuracy_70pct,91.5,0.79,0.720093433649087
308,accuracy_60pct,87.0,0.73,0.566155372647166
308,correlation_70pct,81.75,0.39,0.640291214488256
308,correlation_60pct,80.5,0.42,0.5098309339377373
309,accuracy_80pct,94.0,0.86,0.8347961773075305
309,accuracy_70pct,89.75,0.76,0.7142115588356582
309,accuracy_60pct,86.75,0.66,0.6484302950183386
309,correlation_70pct,84.75,0.5,0.7139449427877754
309,correlation_60pct,76.75,0.35,0.4622275764090004
310,accuracy_80pct,92.5,0.84,0.7768973313087589
310,accuracy_70pct,90.0,0.78,0.7039212299483373
310,accuracy_60pct,88.0,0.71,0.6810362221493964
310,correlation_70pct,81.75,0.41,0.6511182641409471
310,correlation_60pct,79.0,0.36,0.5522179701987112
311,accuracy_80pct,92.5,0.82,0.7596051731628349
311,accuracy_70pct,91.75,0.78,0.7457121084319778
311,accuracy_60pct,89.25,0.72,0.6281256747464756
311,correlation_70pct,83.0,0.4,0.6107620895426592
311,correlation_60pct,81.0,0.38,0.5241245878548619
312,accuracy_80pct,94.5,0.86,0.8254837424719049
312,accuracy_70pct,92.25,0.81,0.7675027337360092
312,accuracy_60pct,88.5,0.76,0.6129941395389018
312,correlation_70pct,81.5,0.41,0.5712703603942345
312,correlation_60pct,77.5,0.33,0.463519215912011
313,accuracy_80pct,95.25,0.86,0.8935595861950587
313,accuracy_70pct,89.25,0.77,0.60836271345165
313,accuracy_60pct,86.75,0.7,0.5497011969048412
313,correlation_70pct,78.75,0.32,0.5429073017419688
313,correlation_60pct,77.25,0.3,0.3839808556120207
314,accuracy_80pct,92.75,0.85,0.767017017682808
314,accuracy_70pct,90.25,0.76,0.7687286040429296
314,accuracy_60pct,86.75,0.67,0.6470519418449113
314,correlation_70pct,83.25,0.51,0.6181880077883525
314,correlation_60pct,78.25,0.33,0.5455123990687152
315,accuracy_80pct,94.75,0.86,0.8603090012937952
315,accuracy_70pct,92.0,0.82,0.7880107135223773
315,accuracy_60pct,87.0,0.67,0.6354874488661719
315,correlation_70pct,77.0,0.33,0.4905777098102933
315,correlation_60pct,77.75,0.28,0.5930989491321526
316,accuracy_80pct,93.5,0.86,0.8283126551476035
316,accuracy_70pct,90.75,0.75,0.798252586515895
316,accuracy_60pct,86.5,0.7,0.6230244533157182
316,correlation_70pct,79.25,0.38,0.5592913791644191
316,correlation_60pct,74.25,0.27,0.3591032420568927
317,accuracy_80pct,91.0,0.82,0.7472457275276128
317,accuracy_70pct,89.25,0.78,0.6894627975517479
317,accuracy_60pct,87.25,0.69,0.6839938610984765
317,correlation_70pct,79.0,0.27,0.6551036665287072
317,correlation_60pct,72.25,0.22,0.32219037053790606
318,accuracy_80pct,93.0,0.83,0.7968978739581171
318,accuracy_70pct,90.5,0.78,0.7302017540698822
318,accuracy_60pct,84.75,0.66,0.538569672657858
318,correlation_70pct,82.25,0.44,0.6570395695505383
318,correlation_60pct,77.5,0.34,0.524932969170168
319,accuracy_80pct,91.5,0.82,0.7388166505017602
319,accuracy_70pct,88.0,0.74,0.6398597718735431
319,accuracy_60pct,84.0,0.66,0.5650454705961304
319,correlation_70pct,82.5,0.45,0.6073658600792481
319,correlation_60pct,79.5,0.36,0.5970248179603052
320,accuracy_80pct,94.5,0.86,0.8097282510097222
320,accuracy_70pct,93.0,0.79,0.8176842279532237
320,accuracy_60pct,86.5,0.71,0.47869068368822754
320,correlation_70pct,82.25,0.45,0.6050358470342913
320,correlation_60pct,80.25,0.37,0.5958363537021777
321,accuracy_80pct,93.75,0.83,0.8534318317026702
321,accuracy_70pct,91.5,0.76,0.8104648118575812
321,accuracy_60pct,87.5,0.69,0.6391000662459532
321,correlation_70pct,79.0,0.39,0.5186145620316164
321,correlation_60pct,78.25,0.37,0.5511402440924382
322,accuracy_80pct,95.0,0.87,0.83861061525245
322,accuracy_70pct,89.5,0.78,0.630422279017462
322,accuracy_60pct,85.5,0.68,0.533264806739986
322,correlation_70pct,79.75,0.36,0.6040189446959678
322,correlation_60pct,77.5,0.36,0.42249200226100647
323,accuracy_80pct,93.5,0.83,0.8186769436204204
323,accuracy_70pct,91.0,0.76,0.755633155645267
323,accuracy_60pct,88.5,0.66,0.7284963648281021
323,correlation_70pct,83.5,0.45,0.6925674678686237
323,correlation_60pct,80.5,0.37,0.5296066297734658
324,accuracy_80pct,92.25,0.82,0.7516156529771084
324,accuracy_70pct,91.75,0.79,0.7502713464497641
324,accuracy_60pct,86.5,0.69,0.5988549228407102
324,correlation_70pct,82.75,0.42,0.6820169510668268
324,correlation_60pct,79.75,0.38,0.5358400399333956
325,accuracy_80pct,94.0,0.83,0.814908653266031
325,accuracy_70pct,89.0,0.76,0.632874709692736
325,accuracy_60pct,86.75,0.69,0.6005788406941636
325,correlation_70pct,84.0,0.45,0.6602648520352933
325,correlation_60pct,80.0,0.33,0.5261554270281932
326,accuracy_80pct,93.75,0.82,0.8284784541172917
326,accuracy_70pct,89.5,0.79,0.6604287885503137
326,accuracy_60pct,85.75,0.69,0.5690386292413702
326,correlation_70pct,80.25,0.35,0.6265957893004329
326,correlation_60pct,80.25,0.39,0.5472688366000708
327,accuracy_80pct,95.25,0.88,0.8651545814744208
327,accuracy_70pct,92.0,0.78,0.7641365714667459
327,accuracy_60pct,85.5,0.65,0.5140869817524486
327,correlation_70pct,84.25,0.46,0.7104241119308004
327,correlation_60pct,83.25,0.46,0.6178171319307877
328,accuracy_80pct,90.5,0.82,0.6598641419581827
328,accuracy_70pct,89.5,0.78,0.6841377636942163
328,accuracy_60pct,89.25,0.73,0.6814922780477871
328,correlation_70pct,80.5,0.4,0.5221299484494272
328,correlation_60pct,76.5,0.27,0.4926868666980143
329,accuracy_80pct,94.5,0.87,0.8250870236097633
329,accuracy_70pct,90.75,0.79,0.6900765864770207
329,accuracy_60pct,88.75,0.72,0.684611046129614
329,correlation_70pct,82.5,0.47,0.5835643484936004
329,correlation_60pct,80.0,0.4,0.5386119892046017
330,accuracy_80pct,92.75,0.82,0.7763668139011244
330,accuracy_70pct,88.25,0.74,0.6393076179844236
330,accuracy_60pct,86.75,0.72,0.5355524354415186
330,correlation_70pct,86.25,0.5,0.7340774928787619
330,correlation_60pct,79.0,0.38,0.4678840346621279
331,accuracy_80pct,95.0,0.86,0.8726925209749756
331,accuracy_70pct,89.5,0.75,0.6974808708850369
331,accuracy_60pct,86.75,0.68,0.6604013370308431
331,correlation_70pct,82.75,0.44,0.6606240685012399
331,correlation_60pct,76.75,0.32,0.5365618645574453
332,accuracy_80pct,92.25,0.84,0.7428669519383966
332,accuracy_70pct,87.25,0.76,0.5537843331945874
332,accuracy_60pct,86.5,0.7,0.5308312922875951
332,correlation_70pct,83.25,0.44,0.6580018923176665
332,correlation_60pct,78.5,0.36,0.5053755694305194
333,accuracy_80pct,92.5,0.82,0.7723917506407965
333,accuracy_70pct,89.25,0.78,0.6269629861624432
333,accuracy_60pct,87.25,0.72,0.5908508624808583
333,correlation_70pct,82.75,0.44,0.6205382118922758
333,correlation_60pct,81.0,0.39,0.63759460687817
334,accuracy_80pct,94.75,0.85,0.8557166096158776
334,accuracy_70pct,92.25,0.79,0.7876459250387645
334,accuracy_60pct,87.5,0.69,0.6494916713514826
334,correlation_70pct,81.5,0.36,0.6475166994497874
334,correlation_60pct,79.75,0.38,0.48604678077977365
335,accuracy_80pct,93.25,0.86,0.8063780691928979
335,accuracy_70pct,90.25,0.75,0.7433226763795276
335,accuracy_60pct,86.75,0.68,0.6611767578254246
335,correlation_70pct,81.75,0.37,0.6445495007699492
335,correlation_60pct,80.75,0.38,0.6065816389964798
336,accuracy_80pct,93.75,0.85,0.8181516280163731
336,accuracy_70pct,87.25,0.73,0.6203534435571407
336,accuracy_60pct,83.75,0.66,0.45883334486302213
336,correlation_70pct,81.75,0.37,0.6193794314812769
336,correlation_60pct,80.25,0.34,0.6060612833965745
337,accuracy_80pct,94.5,0.88,0.8147377734850629
337,accuracy_70pct,86.0,0.73,0.530450566066853
337,accuracy_60pct,88.25,0.72,0.5999121410953826
337,correlation_70pct,85.0,0.48,0.7054582243004403
337,correlation_60pct,78.25,0.33,0.46103763330517933
338,accuracy_80pct,92.75,0.84,0.7958154703299916
338,accuracy_70pct,93.0,0.8,0.8360205836282817
338,accuracy_60pct,85.5,0.68,0.5891747306170394
338,correlation_70pct,80.5,0.38,0.593936206919739
338,correlation_60pct,80.0,0.39,0.5415228519204941
339,accuracy_80pct,93.75,0.85,0.8194297340792832
339,accuracy_70pct,87.75,0.73,0.5343509785034676
339,accuracy_60pct,88.0,0.7,0.682522845838216
339,correlation_70pct,81.75,0.41,0.6016183568941424
339,correlation_60pct,77.5,0.32,0.4045070724719173
340,accuracy_80pct,92.75,0.84,0.7430872244113481
340,accuracy_70pct,92.0,0.76,0.7960617764650803
340,accuracy_60pct,86.75,0.64,0.6019490973356385
340,correlation_70pct,80.75,0.41,0.6053841804923589
340,correlation_60pct,82.25,0.45,0.6370307048988492
341,accuracy_80pct,91.25,0.82,0.7256583991961171
341,accuracy_70pct,88.25,0.77,0.6244107977354957
341,accuracy_60pct,83.5,0.66,0.42025258138258303
341,correlation_70pct,84.0,0.46,0.706035420986987
341,correlation_60pct,76.75,0.33,0.46534269251834925
342,accuracy_80pct,92.0,0.81,0.7766680442087153
342,accuracy_70pct,91.25,0.78,0.782145264290455
342,accuracy_60pct,87.25,0.69,0.647238926497531
342,correlation_70pct,82.0,0.43,0.6557045849091347
342,correlation_60pct,75.5,0.29,0.4299591406246753
343,accuracy_80pct,92.25,0.82,0.7871752035181033
343,accuracy_70pct,87.5,0.77,0.5618544463228066
343,accuracy_60pct,85.25,0.69,0.5663639269996321
343,correlation_70pct,83.5,0.44,0.6997747676645032
343,correlation_60pct,77.0,0.29,0.5559813323195684
344,accuracy_80pct,93.75,0.84,0.8122057373439816
