simulation,grader_type,linear_score,accuracy,spearman
20,accuracy_70pct,90.5,0.79,0.7154422033532746
20,accuracy_60pct,86.0,0.67,0.5877876252515338
20,correlation_70pct,84.75,0.52,0.6694568593879711
20,correlation_60pct,79.0,0.38,0.4962215280330327
21,accuracy_80pct,92.0,0.85,0.7152485692573777
21,accuracy_70pct,91.25,0.77,0.7435942235184418
21,accuracy_60pct,86.75,0.71,0.5585530713083353
21,correlation_70pct,83.25,0.48,0.6579483936744737
21,correlation_60pct,75.5,0.27,0.4672859673984027
22,accuracy_80pct,94.75,0.89,0.8171021206921528
22,accuracy_70pct,92.0,0.8,0.780101073978293
22,accuracy_60pct,87.0,0.72,0.5820726244828148
22,correlation_70pct,83.5,0.43,0.6407798978207331
22,correlation_60pct,79.25,0.34,0.5382739707474828
23,accuracy_80pct,93.5,0.86,0.7872371366104878
23,accuracy_70pct,92.5,0.79,0.8175566988128422
23,accuracy_60pct,83.25,0.63,0.5026229908357943
23,correlation_70pct,82.75,0.42,0.6471006149845399
23,correlation_60pct,75.5,0.32,0.3918039512915081
24,accuracy_80pct,94.25,0.84,0.848293640545625
24,accuracy_70pct,91.75,0.8,0.7729489452498449
24,accuracy_60pct,84.75,0.66,0.4981462866316474
24,correlation_70pct,81.5,0.41,0.6553532423314705
24,correlation_60pct,81.25,0.43,0.5734414246714057
25,accuracy_80pct,94.25,0.86,0.7772986437219851
25,accuracy_70pct,89.25,0.75,0.5719915737009622
25,accuracy_60pct,86.0,0.69,0.4947779687689039
25,correlation_70pct,83.75,0.49,0.6598942479385304
25,correlation_60pct,82.5,0.44,0.5762566500089685
26,accuracy_80pct,93.75,0.84,0.8147118660527526
26,accuracy_70pct,92.5,0.78,0.7792311394058393
26,accuracy_60pct,86.25,0.69,0.5806030687976006
26,correlation_70pct,84.0,0.47,0.650683380638743
26,correlation_60pct,78.5,0.35,0.4524466070495527
27,accuracy_80pct,92.0,0.83,0.7501248949679422
27,accuracy_70pct,89.5,0.75,0.6760185285158484
27,accuracy_60pct,86.25,0.67,0.5692426704021437
27,correlation_70pct,81.25,0.41,0.5964958545881376
27,correlation_60pct,81.25,0.37,0.5962389060123122
28,accuracy_80pct,93.25,0.84,0.7772326893045682
28,accuracy_70pct,91.0,0.78,0.7046484131707291
28,accuracy_60pct,85.75,0.67,0.4983047991714373
28,correlation_70pct,82.75,0.43,0.6239547698169193
28,correlation_60pct,79.25,0.35,0.5219449396720263
29,accuracy_80pct,92.75,0.84,0.7809836687515436
29,accuracy_70pct,90.5,0.81,0.6722933479505644
29,accuracy_60pct,86.75,0.71,0.6176574795228968
29,correlation_70pct,81.25,0.38,0.6375456538946291
29,correlation_60pct,79.25,0.38,0.5471342394220481
30,accuracy_80pct,91.25,0.83,0.7034289425659425
30,accuracy_70pct,87.25,0.75,0.5947299325456628
30,accuracy_60pct,84.0,0.68,0.5067477477985408
30,correlation_70pct,81.0,0.38,0.6340336747186203
30,correlation_60pct,79.25,0.39,0.5196035761155734
31,accuracy_80pct,92.75,0.86,0.7257285487666572
31,accuracy_70pct,91.0,0.79,0.6781960910187367
31,accuracy_60pct,88.75,0.73,0.6180630981353636
31,correlation_70pct,81.0,0.38,0.6113248759472224
31,correlation_60pct,78.25,0.33,0.524873119457959
